Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
8942	PRD000721	25094	229	228	1	0	0	0.995633187772926	1	7838	1
11258	PXD000069	27749	229	228	1	0	0	0.995633187772926	1	7839	1
15115	PXD000070	27924	2285	2275	10	104	4	0.99562363238512	0.998249452954048	7840	1
8833	PRD000721	24985	228	227	1	0	0	0.995614035087719	1	7841	1
13703	PRD000726	26836	3413	3398	15	378	2	0.995605039554644	0.999414005273953	7842	1
13633	PRD000032	3173	455	453	2	0	1	0.995604395604396	0.997802197802198	7843	1
19373	PRD000476	18030	3411	3396	15	0	0	0.995602462620932	1	7844	1
4006	PRD000044	3321	7501	7468	33	0	1	0.995600586588455	0.999866684442074	7845	1
6639	PRD000465	17918	1818	1810	8	103	1	0.995599559955996	0.999449944994499	7846	1
4143	PRD000057	3605	29768	29637	131	0	0	0.995599301263101	1	7847	1
19620	PXD000314	29944	1815	1807	8	1	0	0.995592286501377	1	7848	1
5836	PXD000385	30483	226	225	1	27	0	0.995575221238938	1	7849	1
7631	PRD000053	8972	1130	1125	5	82	0	0.995575221238938	1	7850	1
8973	PRD000721	25125	226	225	1	0	0	0.995575221238938	1	7851	1
13881	PRD000151	10033	677	674	3	388	1	0.995568685376662	0.998522895125554	7852	1
10940	PRD000349	15508	14635	14570	65	0	5	0.995558592415442	0.999658353262726	7853	1
4917	PXD000948	36543	225	224	1	13	0	0.995555555555556	1	7854	1
4963	PXD000948	36570	225	224	1	0	0	0.995555555555556	1	7855	1
5186	PXD000948	36686	225	224	1	13	0	0.995555555555556	1	7856	1
10757	PRD000214	12218	225	224	1	48	1	0.995555555555556	0.995555555555556	7857	1
3059	PRD000608	20202	1348	1342	6	284	0	0.995548961424332	1	7858	1
489	PXD001091	37898	4268	4249	19	0	1	0.995548266166823	0.999765698219306	7859	1
6607	PRD000668	22180	2920	2907	13	245	0	0.995547945205479	1	7860	1
4218	PRD000092	9043	449	447	2	20	0	0.99554565701559	1	7861	1
479	PXD001091	37888	5377	5353	24	0	2	0.995536544541566	0.999628045378464	7862	1
4882	PXD000948	36518	224	223	1	3	0	0.995535714285714	1	7863	1
492	PXD001091	37901	5151	5128	23	0	2	0.995534847602407	0.99961172587847	7864	1
15390	PRD000544	19002	2238	2228	10	0	0	0.995531724754245	1	7865	1
3629	PRD000178	10885	2460	2449	11	129	0	0.995528455284553	1	7866	1
10354	PRD000481	18096	4022	4004	18	285	2	0.995524614619592	0.999502734957732	7867	1
5524	PXD001006	37108	2009	2000	9	52	0	0.995520159283225	1	7868	1
4900	PXD000948	36532	223	222	1	13	0	0.995515695067265	1	7869	1
4910	PXD000948	36536	223	222	1	13	0	0.995515695067265	1	7870	1
6970	PXD000312	29916	1561	1554	7	2	0	0.995515695067265	1	7871	1
7608	PRD000053	8939	446	444	2	17	0	0.995515695067265	1	7872	1
7614	PRD000053	8945	446	444	2	17	0	0.995515695067265	1	7873	1
8629	PRD000345	15454	1115	1110	5	11	0	0.995515695067265	1	7874	1
19430	PRD000154	10052	4236	4217	19	171	1	0.995514636449481	0.999763928234183	7875	1
3072	PRD000608	20215	668	665	3	263	1	0.995508982035928	0.998502994011976	7876	1
6148	PXD001403	40915	1557	1550	7	98	1	0.995504174694926	0.999357739242132	7877	1
15520	PRD000277	13291	7337	7304	33	102	3	0.995502248875562	0.999591113534142	7878	1
1772	PRD000073	8361	222	221	1	6	0	0.995495495495496	1	7879	1
3356	PRD000426	17206	666	663	3	0	0	0.995495495495496	1	7880	1
5122	PXD000948	36653	444	442	2	8	0	0.995495495495496	1	7881	1
5131	PXD000948	36654	444	442	2	8	0	0.995495495495496	1	7882	1
8830	PRD000721	24982	222	221	1	0	0	0.995495495495496	1	7883	1
